Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612716,09-01-2026,HARISH Tharakari Angadi,732,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612717,09-01-2026,DUGAPPA P S,1095,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612718,09-01-2026,RANGANATHA GEN STORE,1768,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612719,09-01-2026,K 2 B cake s,3482,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612720,09-01-2026,VEERABHADRESHWARA PROV STORE,954,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612721,09-01-2026,THARUN  GENRAL  STORE,1352,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612722,09-01-2026,RENUKA PRO STORES,952,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612723,09-01-2026,NANDI PRO STORES,1580,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612724,09-01-2026,REPUBLIC P/S,1691,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612725,09-01-2026,SAET SUPER MART (G),2655,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612726,09-01-2026,GURU GENERAL STORES,526,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612727,09-01-2026,SRI  ANJENEYYA  P/S,1914,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612728,09-01-2026,KARTHIK P/S,1490,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612729,09-01-2026,VENKATESHWARA BAKERI,1437,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612730,09-01-2026,AMBHABAVANI PRO STORE,958,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612731,09-01-2026,MY FOOD (G),1383,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612732,09-01-2026,AKASH  P/S,1399,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612733,09-01-2026,SRI VASAVI P/S,864,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612734,09-01-2026,SRI  VIJAY  P/S,751,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612735,09-01-2026,NEW MALNAD BAKERS AND SWEETS,2015,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
P252612771,11-01-2026,VEERABHADRESHWARA P S,825,HANUMANTHAPPA D,TV  STATION  - 1
P252612772,11-01-2026,CHINNU PROVISION STORES,671,HANUMANTHAPPA D,TV  STATION  - 1
P252612773,11-01-2026,GURU MAHANTHESH PS,947,HANUMANTHAPPA D,TV  STATION  - 1
